GeoFIPS,GeoName,2013,2014,2015,2016,2017
AL,Alabama,2523338,2551872,2586885,2619154,2653968
AK,Alaska ,461110,461327,461767,457371,456799
AZ,Arizona,3371219,3448173,3548174,3646604,3751283
AR,Arkansas,1569249,1587414,1610779,1629237,1644432
CA,California,21319995,21997098,22686455,23165468,23610226
CO,Colorado,3356175,3467519,3574369,3668134,3768593
CT,Connecticut,2246561,2266029,2288017,2300054,2304746
DE,Delaware,544797,556517,568879,578596,586045
Washington D.C.,District of Columbia,848226,860669,873193,891451,902940
FL,Florida,10539255,10937166,11366665,11673201,12130376
GA,Georgia,5496783,5670735,5832372,5971729,6140776
HI,Hawaii ,868122,882732,901206,913190,920376
ID,Idaho,902866,925519,949276,976418,1009682
IL,Illinois,7503158,7613484,7748883,7799593,7839160
IN,Indiana,3684125,3740428,3796375,3847261,3912817
IA,Iowa,2019480,2038926,2059398,2066052,2066284
KS,Kansas,1869054,1895859,1910809,1916297,1917326
KY,Kentucky,2407562,2440072,2473302,2498410,2524927
LA,Louisiana,2641657,2684755,2695547,2690552,2701947
ME,Maine,803641,810868,816598,826651,836117
MD,Maryland,3493921,3537654,3602938,3656163,3702196
MA,Massachusetts,4353568,4447626,4631324,4709778,4788192
MI,Michigan,5323762,5412041,5501054,5575128,5643225
MN,Minnesota,3556487,3603717,3662971,3698363,3743706
MS,Mississippi,1532583,1556753,1568187,1580050,1593678
MO,Missouri,3565922,3596751,3654912,3700536,3742873
MT,Montana,641917,648873,660326,667552,675503
NE,Nebraska,1266477,1282745,1302888,1311043,1320856
NV,Nevada,1561388,1608494,1664121,1723954,1782895
NH,New Hampshire,835032,844499,860597,873180,883500
NJ,New Jersey,5132846,5206784,5302982,5391704,5464627
NM,New Mexico,1075465,1083772,1091984,1092637,1097669
NY,New York,11619137,11865518,12099078,12258958,12408724
NC,North Carolina,5437125,5568662,5695077,5828879,5933790
ND,North Dakota,587398,606989,597475,576615,575020
OH,Ohio,6680769,6771468,6862067,6932002,7005100
OK,Oklahoma,2248291,2272885,2286956,2286070,2294185
OR,Oregon,2259714,2323122,2390658,2449802,2522273
PA,Pennsylvania,7350854,7434313,7510216,7593573,7677266
RI,Rhode Island,602429,613133,627000,632399,639244
SC,South Carolina,2500792,2564448,2636675,2699902,2766293
SD,South Dakota,581384,589296,592665,597372,603150
TN,Tennessee,3688630,3772332,3858802,3950400,4041451
TX,Texas,15529989,16000512,16413328,16684682,17159034
UT,Utah,1753371,1803953,1866146,1933657,1997317
VT,Vermont,425029,428938,432641,433808,436990
VA,Virginia,4898765,4953354,5060545,5142525,5229218
WA,Washington,3991724,4094309,4198931,4310239,4441946
WV,West Virginia,913619,911516,903866,889595,890055
WI,Wisconsin,3539937,3585838,3624387,3657646,3686510
WY,Wyoming,400402,406343,406054,398265,399994
