number,年份,GeoName,ComponentName,Unit,Description,data
1,2013,Alabama,GDP,Millions of current dollars,All industry total,191481
1,2014,Alabama,GDP,Millions of current dollars,All industry total,194211
1,2015,Alabama,GDP,Millions of current dollars,All industry total,200402.7
1,2016,Alabama,GDP,Millions of current dollars,All industry total,203829.8
1,2017,Alabama,GDP,Millions of current dollars,All industry total,210364.4
2,2013,Alaska,GDP,Millions of current dollars,All industry total,56622.8
2,2014,Alaska,GDP,Millions of current dollars,All industry total,55523.4
2,2015,Alaska,GDP,Millions of current dollars,All industry total,50641.6
2,2016,Alaska,GDP,Millions of current dollars,All industry total,49363.4
2,2017,Alaska,GDP,Millions of current dollars,All industry total,51803.1
3,2013,Arizona,GDP,Millions of current dollars,All industry total,275199.1
3,2014,Arizona,GDP,Millions of current dollars,All industry total,284430
3,2015,Arizona,GDP,Millions of current dollars,All industry total,297141.2
3,2016,Arizona,GDP,Millions of current dollars,All industry total,311091
3,2017,Arizona,GDP,Millions of current dollars,All industry total,327495.8
4,2013,Arkansas,GDP,Millions of current dollars,All industry total,114251.5
4,2014,Arkansas,GDP,Millions of current dollars,All industry total,117336.7
4,2015,Arkansas,GDP,Millions of current dollars,All industry total,118761.2
4,2016,Arkansas,GDP,Millions of current dollars,All industry total,120374.8
4,2017,Arkansas,GDP,Millions of current dollars,All industry total,123383.1
5,2013,California,GDP,Millions of current dollars,All industry total,2262771.2
5,2014,California,GDP,Millions of current dollars,All industry total,2395162.3
5,2015,California,GDP,Millions of current dollars,All industry total,2553772.2
5,2016,California,GDP,Millions of current dollars,All industry total,2657797.6
5,2017,California,GDP,Millions of current dollars,All industry total,2819110.7
6,2013,Colorado,GDP,Millions of current dollars,All industry total,288305.2
6,2014,Colorado,GDP,Millions of current dollars,All industry total,306571.1
6,2015,Colorado,GDP,Millions of current dollars,All industry total,318554.9
6,2016,Colorado,GDP,Millions of current dollars,All industry total,329368.3
6,2017,Colorado,GDP,Millions of current dollars,All industry total,350004.4
7,2013,Connecticut,GDP,Millions of current dollars,All industry total,246632
7,2014,Connecticut,GDP,Millions of current dollars,All industry total,248865.2
7,2015,Connecticut,GDP,Millions of current dollars,All industry total,260072.6
7,2016,Connecticut,GDP,Millions of current dollars,All industry total,263696.4
7,2017,Connecticut,GDP,Millions of current dollars,All industry total,268310.5
8,2013,Delaware,GDP,Millions of current dollars,All industry total,60666.1
8,2014,Delaware,GDP,Millions of current dollars,All industry total,66891
8,2015,Delaware,GDP,Millions of current dollars,All industry total,70969.4
8,2016,Delaware,GDP,Millions of current dollars,All industry total,69549.7
8,2017,Delaware,GDP,Millions of current dollars,All industry total,70774.8
9,2013,District of Columbia,GDP,Millions of current dollars,All industry total,114891
9,2014,District of Columbia,GDP,Millions of current dollars,All industry total,119841
9,2015,District of Columbia,GDP,Millions of current dollars,All industry total,125211.9
9,2016,District of Columbia,GDP,Millions of current dollars,All industry total,129826.1
9,2017,District of Columbia,GDP,Millions of current dollars,All industry total,134042.7
10,2013,Florida,GDP,Millions of current dollars,All industry total,800704.1
10,2014,Florida,GDP,Millions of current dollars,All industry total,839484.1
10,2015,Florida,GDP,Millions of current dollars,All industry total,895146.2
10,2016,Florida,GDP,Millions of current dollars,All industry total,938774.2
10,2017,Florida,GDP,Millions of current dollars,All industry total,985665.4
11,2013,Georgia,GDP,Millions of current dollars,All industry total,460585.1
11,2014,Georgia,GDP,Millions of current dollars,All industry total,485816.7
11,2015,Georgia,GDP,Millions of current dollars,All industry total,513565.6
11,2016,Georgia,GDP,Millions of current dollars,All industry total,539525.1
11,2017,Georgia,GDP,Millions of current dollars,All industry total,566473.6
12,2013,Hawaii,GDP,Millions of current dollars,All industry total,75788.3
12,2014,Hawaii,GDP,Millions of current dollars,All industry total,77854.3
12,2015,Hawaii,GDP,Millions of current dollars,All industry total,82710
12,2016,Hawaii,GDP,Millions of current dollars,All industry total,85843.8
12,2017,Hawaii,GDP,Millions of current dollars,All industry total,89428.9
13,2013,Idaho,GDP,Millions of current dollars,All industry total,61017.7
13,2014,Idaho,GDP,Millions of current dollars,All industry total,63521.8
13,2015,Idaho,GDP,Millions of current dollars,All industry total,66004.3
13,2016,Idaho,GDP,Millions of current dollars,All industry total,69029.4
13,2017,Idaho,GDP,Millions of current dollars,All industry total,72723.2
14,2013,Illinois,GDP,Millions of current dollars,All industry total,739627.9
14,2014,Illinois,GDP,Millions of current dollars,All industry total,765347.7
14,2015,Illinois,GDP,Millions of current dollars,All industry total,792999.4
14,2016,Illinois,GDP,Millions of current dollars,All industry total,806315.5
14,2017,Illinois,GDP,Millions of current dollars,All industry total,826817.8
15,2013,Indiana,GDP,Millions of current dollars,All industry total,308681.7
15,2014,Indiana,GDP,Millions of current dollars,All industry total,324934.5
15,2015,Indiana,GDP,Millions of current dollars,All industry total,330032.2
15,2016,Indiana,GDP,Millions of current dollars,All industry total,338126.1
15,2017,Indiana,GDP,Millions of current dollars,All industry total,351105.6
